2018,Tuesday,North Harrison Street,Motor Vehicle Crash - No Injury,18:42:22
2018,Tuesday,Nassau Street,Motor Vehicle Crash - No Injury,18:42:57
2018,Tuesday,Mercer Street,Motor Vehicle Crash - No Injury,18:57:04
2018,Tuesday,Quaker Road,Motor Vehicle Crash - No Injury,19:02:18
2018,Wednesday,Nassau Street,Motor Vehicle Crash - No Injury,17:42:21
2018,Thursday,Nassau Street,Motor Vehicle Crash - No Injury,08:43:10
2018,Thursday,Alexander Street,Motor Vehicle Crash - No Injury,15:22:04
2018,Thursday,Walnut Lane,Motor Vehicle Crash - No Injury,16:42:18
2018,Friday,Princeton Avenue,Motor Vehicle Crash - No Injury,10:04:28
2018,Friday,Alexander Street,Motor Vehicle Crash - No Injury,12:52:51
2018,Saturday,Palmer Square East,Motor Vehicle Crash - No Injury,12:05:42
2018,Saturday,Washington Road,Motor Vehicle Crash - No Injury,20:28:35
2018,Sunday,Spring Street,Motor Vehicle Crash - No Injury,14:30:01
2018,Monday,Great Road,Motor Vehicle Crash - No Injury,10:43:39
2018,Monday,Great Road,Motor Vehicle Crash - No Injury,10:52:54
2018,Monday,Trewbridge Court,Motor Vehicle Crash - No Injury,21:27:48
2018,Monday,Spring Street,Motor Vehicle Crash - No Injury,21:29:16
2018,Tuesday,Broadmead,Motor Vehicle Crash - Injury,11:00:31
2018,Tuesday,Valley Road,Motor Vehicle Crash - No Injury,11:31:18
2018,Tuesday,Valley Road,Motor Vehicle Crash - No Injury,12:43:04
2018,Tuesday,Wilton Street,Motor Vehicle Crash - No Injury,14:10:58
2018,Tuesday,Hamilton Avenue,Motor Vehicle Crash - No Injury,14:10:52
2018,Tuesday,Alexander Street,Motor Vehicle Crash - No Injury,16:48:27
2018,Wednesday,University Place,Motor Vehicle Crash - No Injury,13:58:06
2018,Wednesday,Cherry Valley Road,Motor Vehicle Crash - No Injury,18:17:24
2018,Thursday,Valley Road,Motor Vehicle Crash - No Injury,18:38:31
2018,Friday,Prospect Avenue,Motor Vehicle Crash - No Injury,15:02:39
2018,Sunday,Cherry Valley Road,Motor Vehicle Crash - No Injury,21:34:38
2018,Monday,North Harrison Street,Motor Vehicle Crash - No Injury,09:51:50
2018,Monday,Lovers Lane,Motor Vehicle Crash - No Injury,10:31:25
